#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         222     1.33994     1.49442   0.0137902
         223     1.33501     1.49371   0.0137469
         224     1.34533     1.49305   0.0137015
         225     1.33637     1.49235   0.0136583
         226     1.31223     1.49155   0.0136211
         227     1.31933     1.49079   0.0135822
         228     1.31446     1.49002   0.0135446
         229       1.324      1.4893   0.0135048
         230     1.34292     1.48866   0.0134611
         231      1.3174     1.48792   0.0134232
         232     1.33046     1.48724   0.0133825
         233     1.34673     1.48664   0.0133387
         234     1.35073     1.48606   0.0132943
         235      1.3319      1.4854   0.0132539
         236      1.3488     1.48482   0.0132104
         237     1.37817     1.48437   0.0131623
         238     1.38665     1.48396   0.0131134
         239     1.37173     1.48349   0.0130669
         240     1.35927     1.48297   0.0130227
         241     1.35114     1.48243   0.0129802
         242     1.34046     1.48184   0.0129398
         243     1.36337     1.48135   0.0128957
         244     1.36162     1.48086   0.0128522
         245     1.34857     1.48032   0.0128111
         246     1.34902     1.47979   0.0127701
         247     1.35063     1.47926   0.0127291
         248     1.33801      1.4787   0.0126905
         249     1.33211     1.47811   0.0126532
         250     1.33232     1.47752    0.012616
         251     1.34211     1.47698   0.0125773
         252     1.34409     1.47646   0.0125384
         253     1.31043      1.4758    0.012506
         254      1.3175     1.47518   0.0124723
         255     1.31187     1.47454   0.0124398
         256     1.32859     1.47397   0.0124043
         257      1.3277      1.4734   0.0123691
         258     1.32626     1.47283   0.0123343
         259      1.3264     1.47226   0.0122996
         260     1.30538     1.47162   0.0122691
         261     1.31952     1.47104   0.0122359
         262     1.32111     1.47046   0.0122025
         263     1.30609     1.46984   0.0121721
         264     1.32661      1.4693   0.0121381
         265     1.33529     1.46879   0.0121028
         266     1.30889     1.46819   0.0120723
         267      1.3021     1.46757   0.0120431
         268     1.33553     1.46708   0.0120082
         269     1.34102     1.46661   0.0119727
         270     1.32707     1.46609   0.0119395
         271     1.32199     1.46556   0.0119073
         272      1.3333     1.46507   0.0118734
         273      1.3428     1.46462   0.0118384
         274      1.3448     1.46419   0.0118033
         275     1.34128     1.46374   0.0117688
         276     1.34198      1.4633   0.0117344
         277     1.34519     1.46287   0.0116998
         278     1.33821     1.46242   0.0116663
         279     1.35028     1.46202   0.0116314
         280     1.35906     1.46165   0.0115957
         281     1.35972     1.46129   0.0115601
         282     1.35422     1.46091   0.0115253
         283     1.34324      1.4605   0.0114921
         284     1.35629     1.46013   0.0114575
         285     1.37239     1.45982   0.0114214
         286     1.36072     1.45947   0.0113867
         287     1.37271     1.45917   0.0113511
         288      1.3951     1.45895   0.0113139
         289     1.38724      1.4587   0.0112774
         290     1.36212     1.45837   0.0112435
         291      1.3755     1.45808   0.0112084
         292     1.39679     1.45787    0.011172
         293     1.41285     1.45772   0.0111349
         294     1.41457     1.45757    0.011098
         295     1.41052     1.45741   0.0110615
         296      1.3942      1.4572   0.0110262
         297     1.39999     1.45701   0.0109908
         298     1.41589     1.45687   0.0109548
         299     1.39968     1.45668   0.0109198
         300     1.38614     1.45644   0.0108859
         301      1.3863     1.45621   0.0108523
         302     1.38478     1.45597   0.0108189
         303     1.37279      1.4557   0.0107867
         304     1.37525     1.45544   0.0107545
         305     1.38159     1.45519   0.0107219
         306     1.38118     1.45495   0.0106896
         307     1.37963     1.45471   0.0106576
         308     1.35201     1.45437   0.0106282
         309     1.33165     1.45398   0.0106012
         310      1.3605     1.45367   0.0105713
         311     1.36065     1.45337   0.0105416
         312     1.35613     1.45306   0.0105124
         313     1.35162     1.45274   0.0104838
         314     1.34082     1.45238   0.0104565
         315     1.32116     1.45197   0.0104316
         316     1.32631     1.45157   0.0104061
         317     1.33874     1.45121   0.0103794
         318     1.31894      1.4508   0.0103551
         319     1.30466     1.45034   0.0103327
         320     1.32408     1.44994    0.010308
         321     1.31278     1.44952   0.0102847
         322     1.29987     1.44905   0.0102633
         323     1.30668     1.44861    0.010241
         324     1.30954     1.44818   0.0102184
         325     1.30982     1.44776   0.0101958
         326     1.29865      1.4473   0.0101748
         327     1.30834     1.44687   0.0101525
         328     1.30786     1.44645   0.0101304
         329     1.29414     1.44599   0.0101102
         330     1.31302     1.44558   0.0100876
         331     1.32579     1.44522   0.0100636
         332     1.32969     1.44487   0.0100393
         333     1.31727     1.44449   0.0100164
         334      1.2604     1.44394   0.0100016
         335     1.28517     1.44347  0.00998298
         336     1.31976      1.4431  0.00996005
         337     1.32993     1.44276  0.00993616
         338      1.3198      1.4424  0.00991342
         339     1.30452     1.44199  0.00989252
         340     1.30228     1.44158  0.00987195
         341     1.29882     1.44116  0.00985187
         342     1.30741     1.44077  0.00983083
         343     1.30156     1.44036  0.00981054
         344     1.31218     1.43999  0.00978909
         345     1.30189     1.43959   0.0097689
         346     1.30149     1.43919  0.00974882
         347     1.29956     1.43879  0.00972902
         348     1.29533     1.43838   0.0097098
         349     1.31935     1.43804  0.00968796
         350     1.30629     1.43766  0.00966759
         351     1.28379     1.43722  0.00964998
         352     1.31038     1.43686   0.0096293
         353     1.31583     1.43652  0.00960812
         354     1.28769      1.4361  0.00959017
         355     1.30746     1.43574     0.00957
         356     1.31062     1.43538  0.00954957
         357     1.30173     1.43501  0.00953016
         358     1.33061     1.43472    0.009508
         359     1.34356     1.43446   0.0094849
         360     1.36284     1.43427  0.00946064
         361     1.35667     1.43405  0.00943688
         362     1.34239      1.4338   0.0094142
         363     1.38341     1.43366  0.00938929
         364     1.41778     1.43362   0.0093636
         365     1.39837     1.43352  0.00933844
         366     1.41167     1.43346  0.00931312
         367      1.4037     1.43338   0.0092881
         368     1.37721     1.43323  0.00926411
         369     1.39053     1.43311  0.00923973
         370     1.41008     1.43305  0.00921497
         371     1.40316     1.43297  0.00919048
         372     1.38177     1.43283   0.0091668
         373     1.36439     1.43265  0.00914406
         374     1.36391     1.43246  0.00912146
         375     1.34405     1.43223  0.00910018
         376     1.35048     1.43201  0.00907858
         377     1.35333      1.4318   0.0090569
         378     1.35721      1.4316  0.00903508
         379     1.35224     1.43139  0.00901367
         380     1.35929      1.4312  0.00899195
         381     1.35575     1.43101  0.00897053
         382     1.35699     1.43081  0.00894914
         383     1.36705     1.43065  0.00892732
         384      1.3605     1.43046  0.00890594
         385     1.34876     1.43025  0.00888534
         386     1.34952     1.43004  0.00886478
         387     1.34233     1.42981  0.00884477
         388     1.35247     1.42962  0.00882422
         389       1.337     1.42938  0.00880474
         390     1.32079      1.4291  0.00878657
         391     1.33682     1.42886  0.00876727
         392     1.35425     1.42867  0.00874697
         393     1.34681     1.42846  0.00872719
         394     1.31883     1.42819  0.00870947
         395     1.31844     1.42791  0.00869186
         396     1.33461     1.42767   0.0086731
         397     1.32002      1.4274  0.00865549
         398     1.31461     1.42712  0.00863838
         399     1.31603     1.42684  0.00862122
         400     1.31469     1.42656  0.00860422
